customer-id,customer name,gender,age,price,quantity,purchase-date,email,category
1,,unknown,76.0,451.48,21.0,invalid_date,,Electronics
2,Melanie Thornton,,,,180.0,2010-06-07,,ClOThIng
3,Lisa Oliver,Female,61.0,75.86,54.0,invalid_date,nreed@cummings-carney.com,ClOThIng
4,,female,,146.31,144.0,2021-13-40,christophermartin@evans.com,furnITure
5,Shane Cannon,female,,,57.0,,hsmith@yu-ryan.com,CLOTHING
6,,MALE,29.0,,80.0,2021-07-19,,electronics
7,anthony,,,314.81,66.0,,,ClOThIng
8,Christopher,,,105.5,139.0,2020-03-26,stevebarr@hotmail.com,ClOThIng
9,Meghan Garcia,,34.0,471.37,200.0,invalid_date,,Cloth ing
10,william,MALE,68.0,,,2005-07-13,,Electronics
11,ANDREA,MALE,29.0,175.96,147.0,2014-08-16,williamsmichelle@johnson-lewis.com,Cloth ing
12,Michelle Spears,Female,92.0,,37.0,2021-03-20,,clothing
13,Kristin Knox,MALE,52.0,,176.0,2021-13-40,cjohnson@hotmail.com,eLeCtrOnIcs
14,Lisa,Male,55.0,-32.21,,,gleon@gmail.com,electronics
15,CHRISTOPHER,female,32.0,,154.0,2006-11-18,,CLOTHING
16,GREGORY,unknown,46.0,176.01,195.0,invalid_date,riveradavid@garcia.com,clothing
17,mark,female,,118.66,26.0,2021-13-40,,furnITure
18,CHRISTINE,,,-47.05,40.0,2021-13-40,jennifer48@anderson.org,eLeCtrOnIcs
19,,Male,21.0,61.54,-4.0,2024-10-18,ypatterson@perkins.info,Electronics
20,Deborah Spears,MALE,,323.31,94.0,2021-13-40,jennifermcbride@gmail.com,electronics
21,Benjamin Grimes,,79.0,366.38,,invalid_date,,clothing
22,MARGARET,MALE,32.0,,,2021-13-40,umiller@briggs.com,Cloth ing
23,Kimberly,unknown,92.0,432.9,13.0,2009-05-02,amy43@weeks-lang.info,Cloth ing
24,Steven Orozco,female,63.0,205.78,,2023-08-18,,Cloth ing
25,,,60.0,,67.0,,ryan29@hotmail.com,eLeCtrOnIcs
26,shannon,MALE,47.0,,193.0,2020-06-23,,Cloth ing
27,steven,,,,,2010-06-21,barnesdiana@dawson.com,ClOThIng
28,Rebecca Cervantes,unknown,25.0,-2.91,60.0,,,Electronics
29,Sara Thomas,MALE,84.0,,131.0,invalid_date,,clothing
30,Julie,,55.0,184.85,5.0,invalid_date,,ClOThIng
31,Roberto Brown,,,261.63,,2018-02-09,,Cloth ing
32,tammy,,20.0,158.54,15.0,2024-11-03,,electronics
33,,unknown,,,130.0,2021-13-40,,ClOThIng
34,,,21.0,164.08,,invalid_date,,Cloth ing
35,RICHARD,MALE,49.0,296.71,,invalid_date,,ClOThIng
36,Victor Johnson,Male,83.0,,,invalid_date,,furniture
37,,Male,,321.46,,2021-13-40,,ClOThIng
38,,,69.0,113.73,114.0,invalid_date,callahanlinda@ruiz.com,electronics
39,,Male,49.0,128.3,115.0,2021-05-17,,eLeCtrOnIcs
40,Stanley Arnold,Female,27.0,38.14,,2001-04-25,,furnITure
41,allison,Male,,243.3,,2019-06-08,andreacooper@gmail.com,eLeCtrOnIcs
42,robert,Male,96.0,27.53,17.0,invalid_date,mkaufman@yahoo.com,Cloth ing
43,Patricia,MALE,80.0,60.81,82.0,,,furniture
44,Jennifer Williams,unknown,77.0,293.87,,2001-10-10,,CLOTHING
45,paula,,,,,invalid_date,zbrown@hotmail.com,furniture
46,Deborah,unknown,37.0,26.09,,,robinsonmorgan@goodwin-allen.org,furnITure
47,,Female,85.0,,42.0,2021-13-40,rcontreras@smith.info,electronics
48,mark,Female,64.0,3.3,74.0,2006-06-08,,Electronics
49,Emily Andrews,Male,68.0,113.0,123.0,,,electronics
50,,MALE,52.0,94.28,,2022-09-26,,furnITure
51,,,,,,2021-13-40,,electronics
52,LINDSAY,unknown,24.0,,184.0,2017-08-05,,Cloth ing
53,Stephanie Hampton,,,210.28,,,,CLOTHING
54,Misty Blankenship,Female,,76.25,154.0,,,electronics
55,lori,MALE,51.0,30.33,98.0,2025-09-21,,furnITure
56,KEITH,unknown,,,,2021-13-40,,clothing
57,,female,52.0,254.69,85.0,2021-13-40,,clothing
58,,,47.0,68.48,120.0,,,Cloth ing
59,,,76.0,386.66,171.0,2021-13-40,joseph62@hotmail.com,CLOTHING
60,Lisa,Female,71.0,436.02,85.0,invalid_date,,Cloth ing
61,,female,42.0,,116.0,invalid_date,,electronics
62,Carrie,unknown,37.0,,183.0,2021-13-40,bellchristopher@hotmail.com,furnITure
63,Laura,,65.0,142.56,92.0,2023-06-14,,electronics
64,,,48.0,,140.0,invalid_date,,clothing
65,samantha,unknown,23.0,-1.14,178.0,invalid_date,ihill@turner.com,electronics
66,Samantha,unknown,39.0,286.14,140.0,2007-11-21,kelly43@guzman.com,Electronics
67,lisa,,15.0,,,2021-04-05,,furniture
68,CHRISTOPHER,,37.0,-32.26,2.0,2020-03-19,,CLOTHING
69,Donald Evans,,,,93.0,2005-07-22,,clothing
70,mark,MALE,31.0,139.45,,2021-13-40,,electronics
71,Cynthia Garcia,,24.0,-7.39,131.0,2005-05-11,,CLOTHING
72,michael,female,77.0,112.48,,invalid_date,sferguson@gmail.com,CLOTHING
73,Keith,Male,,59.45,,2021-13-40,,Cloth ing
74,Stacie Kennedy,MALE,,82.31,180.0,,,CLOTHING
75,Haley Smith,female,20.0,475.7,195.0,2021-06-02,,clothing
76,KAITLIN,unknown,31.0,3.42,33.0,2021-13-40,lawrence06@yahoo.com,furnITure
77,,MALE,,,,2021-13-40,matthewsmith@gmail.com,CLOTHING
78,,MALE,93.0,19.32,8.0,,,CLOTHING
79,Sara,unknown,31.0,,78.0,,,ClOThIng
80,Felicia Norris,Male,56.0,454.34,101.0,2024-08-03,,ClOThIng
81,,unknown,42.0,,10.0,2021-13-40,,eLeCtrOnIcs
82,,unknown,,141.97,118.0,2020-12-13,,furnITure
83,kevin,Male,,459.69,50.0,2021-13-40,sparkschelsea@montoya.net,CLOTHING
84,Seth,female,65.0,27.03,,2014-03-11,,clothing
85,Bob Peterson,unknown,33.0,163.05,112.0,2012-04-30,stevencarlson@gmail.com,furnITure
86,,Male,28.0,435.96,,2005-02-23,melissa28@reeves-daniel.com,Cloth ing
87,Melissa,MALE,32.0,,,2016-12-11,,clothing
88,jessica,Female,,,,2022-05-19,,electronics
89,doris,MALE,71.0,237.02,,2023-07-09,,Electronics
90,John Rivas,Female,21.0,174.15,83.0,2003-10-07,,Electronics
91,Maria,Male,56.0,-28.82,,2023-04-29,,CLOTHING
92,Lisa,unknown,56.0,411.38,,2021-13-40,,furnITure
93,jonathan,unknown,79.0,,95.0,,,electronics
94,,Male,96.0,106.49,,2022-02-25,,Cloth ing
95,Aaron,Female,67.0,,,,,Cloth ing
96,Benjamin Medina,MALE,39.0,175.86,187.0,2021-13-40,,clothing
97,ERIC,Male,,,,invalid_date,,furnITure
98,linda,Male,63.0,-38.05,,,,eLeCtrOnIcs
99,Jim Branch,,63.0,133.59,,2024-04-05,,CLOTHING
100,HEIDI,female,,,111.0,2021-08-28,zacharyramirez@yahoo.com,eLeCtrOnIcs
101,Robert,unknown,39.0,,,2021-02-18,,furnITure
102,ROBERT,MALE,13.0,,127.0,2014-04-06,,Electronics
103,Robert,MALE,33.0,,175.0,,,Cloth ing
104,John Hamilton,MALE,73.0,192.75,127.0,2022-06-07,,CLOTHING
105,william,unknown,,185.75,,2020-07-06,,furniture
106,,female,,114.61,,2021-03-21,,furniture
107,,Male,89.0,9.39,108.0,,,electronics
108,,Male,,176.4,171.0,2006-08-28,,CLOTHING
109,andrew,Female,60.0,,161.0,,,electronics
110,Nicole Rhodes,MALE,,315.39,179.0,2021-13-40,,Electronics
111,Joshua,unknown,41.0,162.43,,2021-13-40,,Electronics
112,Alexander,MALE,34.0,,,2023-07-10,,clothing
113,Amber,Female,42.0,18.33,58.0,2008-01-02,,furniture
114,mark,MALE,20.0,43.94,101.0,2021-13-40,kariestrada@yahoo.com,Cloth ing
115,Stacy,Female,,-39.88,120.0,2022-02-28,david50@williams-torres.org,Cloth ing
116,Holly Schultz,female,66.0,-17.26,,2021-13-40,,Electronics
117,Benjamin Meyer,unknown,92.0,,86.0,,,Electronics
118,james,MALE,80.0,130.81,151.0,invalid_date,,eLeCtrOnIcs
119,CHRISTIAN,,58.0,29.71,,,hdixon@gmail.com,ClOThIng
120,Raymond Strickland,,,,,,katherinegreen@yahoo.com,CLOTHING
121,KRISTEN,MALE,43.0,85.23,,2021-13-40,,electronics
122,Audrey Harris,,,41.94,173.0,2022-02-13,,clothing
123,,female,32.0,97.76,,2021-13-40,andersonsamantha@gmail.com,CLOTHING
124,,unknown,31.0,,,,,clothing
125,scott,,66.0,94.28,92.0,2021-13-40,ryanmurphy@hicks.info,Electronics
126,DAVID,Female,53.0,,148.0,2020-07-27,,Electronics
127,,Male,60.0,,12.0,,,furnITure
128,hunter,,39.0,,121.0,2024-01-17,leahroberts@yahoo.com,ClOThIng
129,mark,female,62.0,181.53,195.0,,,clothing
130,Dominique,,66.0,364.36,30.0,2021-13-40,,clothing
131,,unknown,,147.17,197.0,2010-03-16,,ClOThIng
132,,unknown,77.0,-39.04,141.0,2021-13-40,hunterwells@murray.net,Electronics
133,john,,30.0,111.62,157.0,invalid_date,,Cloth ing
134,adam,MALE,49.0,,127.0,2025-07-12,ryan37@gmail.com,Electronics
135,Megan,Male,,,113.0,2021-13-40,,furnITure
136,Annette Cross,female,55.0,,50.0,2021-13-40,rperez@gmail.com,furniture
