customer_id	customer_name	gender	age	price	quantity	purchase_date	email	category	age_bracket	category_code	sub_total	tax	final_total	year	month	month_name	day_of_week	quarter
1	Unknown	Unknown	76	451.48	21	2010-06-07	no@email.com	Electronics	Middle	ET	9481.08	711.08	10192.16	2010	6	June	Monday	2
2	Melanie Thornton	Unknown	53	165.74524	180	2010-06-07	no@email.com	Clothing	Middle	CL	29834.14	2237.56	32071.7	2010	6	June	Monday	2
3	Lisa Oliver	Female	61	75.86	54	2010-06-07	nreed@cummings-carney.com	Clothing	Middle	CL	4096.44	307.23	4403.67	2010	6	June	Monday	2
4	Unknown	Female	53	146.31	144	2010-06-07	christophermartin@evans.com	Furniture	Middle	FR	21068.64	1580.15	22648.79	2010	6	June	Monday	2
5	Shane Cannon	Female	53	165.74524	57	2010-06-07	hsmith@yu-ryan.com	Clothing	Middle	CL	9447.48	708.56	10156.039999999999	2010	6	June	Monday	2
6	Unknown	Male	29	162.54843	80	2021-07-19	no@email.com	Electronics	Middle	ET	13003.87	975.29	13979.16	2021	7	July	Monday	3
7	anthony	Unknown	53	314.81	66	2021-07-19	no@email.com	Clothing	Middle	CL	20777.46	1558.31	22335.77	2021	7	July	Monday	3
8	Christopher	Unknown	53	105.5	139	2020-03-26	stevebarr@hotmail.com	Clothing	Middle	CL	14664.5	1099.84	15764.34	2020	3	March	Thursday	1
9	Meghan Garcia	Unknown	34	471.37	200	2020-03-26	no@email.com	Clothing	Middle	CL	94274.0	7070.55	101344.55	2020	3	March	Thursday	1
10	william	Male	68	162.54843	200	2005-07-13	no@email.com	Electronics	Middle	ET	32509.69	2438.23	34947.92	2005	7	July	Wednesday	3
11	ANDREA	Male	29	175.96	147	2014-08-16	williamsmichelle@johnson-lewis.com	Clothing	Middle	CL	25866.12	1939.96	27806.079999999998	2014	8	August	Saturday	3
12	Michelle Spears	Female	92	165.74524	37	2021-03-20	no@email.com	Clothing	Middle	CL	6132.57	459.94	6592.509999999999	2021	3	March	Saturday	1
13	Kristin Knox	Male	52	162.54843	176	2021-03-20	cjohnson@hotmail.com	Electronics	Middle	ET	28608.52	2145.64	30754.16	2021	3	March	Saturday	1
14	Lisa	Male	55	-32.21	176	2021-03-20	gleon@gmail.com	Electronics	Middle	ET	-5668.96	-425.17	-6094.13	2021	3	March	Saturday	1
